season,week,weekly_rank,season_rank,celebrity_name,total_score,ballroom_partner,estimated_fan_percent,fan_percent_min,fan_percent_max,estimated_fan_rank_milp,inferred_fan_rank,certainty,computed_total_rank,rank_based_score,is_predicted_eliminated_rank,prediction_outcome_rank,is_week_prediction_correct_rank,judge_percent,percent_based_score,is_predicted_eliminated_percent,prediction_outcome_percent,is_week_prediction_correct_percent,is_actual_eliminated
1,4,4.0,3,Joey McIntyre,20.0,Ashly DelGrosso,48.0,48.0,48.0,1.0,1,1.0,3,5.0,False,Correctly Predicted Safe,True,21.73913043478261,34.869565217391305,False,Correctly Predicted Safe,True,False
1,5,1.0,2,John O'Hurley,27.0,Charlotte Jorgensen,27.27,18.18,54.55,2.0,2,0.6364,1,3.0,False,Correctly Predicted Safe,True,36.986301369863014,32.128150684931505,False,Correctly Predicted Safe,True,False
1,5,2.0,1,Kelly Monaco,23.5,Alec Mazo,54.55,27.27,54.55,1.0,1,0.7273,2,3.0,False,Correctly Predicted Safe,True,32.19178082191781,43.37089041095891,False,Correctly Predicted Safe,True,False
1,5,3.0,3,Joey McIntyre,22.5,Ashly DelGrosso,18.18,18.18,27.27,3.0,3,0.9091,3,6.0,True,Correctly Predicted Eliminated,True,30.82191780821918,24.500958904109588,True,Correctly Predicted Eliminated,True,True
1,6,1.0,1,Kelly Monaco,27.5,Alec Mazo,66.67,33.33,66.67,1.0,1,0.6667,1,2.0,False,Correctly Predicted Safe,True,50.45871559633027,58.56435779816513,False,Correctly Predicted Safe,True,False
1,6,2.0,2,John O'Hurley,27.0,Charlotte Jorgensen,33.33,33.33,66.67,2.0,2,0.6667,2,4.0,True,Correctly Predicted Eliminated,True,49.54128440366973,41.43564220183487,True,Correctly Predicted Eliminated,True,True
2,1,1.0,1,Drew Lachey,24.0,Cheryl Burke,34.14,3.41,34.14,1.0,1,0.6927,1,2.0,False,Correctly Predicted Safe,True,12.307692307692308,23.223846153846154,False,Correctly Predicted Safe,True,False
2,1,2.0,9,Tatum O'Neal,23.0,Nick Kosovich,4.27,3.41,34.14,8.0,8,0.6927,4,10.0,False,Correctly Predicted Safe,True,11.794871794871794,8.032435897435896,False,Correctly Predicted Safe,True,False
2,1,2.0,8,Giselle Fernandez,23.0,Jonathan Roberts,3.79,3.41,34.14,9.0,9,0.6927,5,11.0,False,Correctly Predicted Safe,True,11.794871794871794,7.792435897435897,False,Correctly Predicted Safe,True,False
2,1,4.0,3,Stacy Keibler,22.0,Tony Dovolani,6.83,3.41,34.14,5.0,5,0.6927,2,9.0,False,Correctly Predicted Safe,True,11.282051282051283,9.056025641025641,False,Correctly Predicted Safe,True,False
2,1,5.0,2,Jerry Rice,21.0,Anna Trebunskaya,4.88,3.41,34.14,7.0,7,0.6927,7,12.0,False,Correctly Predicted Safe,True,10.76923076923077,7.8246153846153845,False,Correctly Predicted Safe,True,False
2,1,6.0,6,Tia Carrere,20.0,Maksim Chmerkoskiy,5.69,3.41,34.14,6.0,6,0.6927,8,12.0,False,Correctly Predicted Safe,True,10.256410256410255,7.973205128205128,False,Correctly Predicted Safe,True,False
2,1,7.0,4,Lisa Rinna,19.0,Louis van Amstel,17.07,3.41,34.14,2.0,2,0.6927,3,9.0,False,Correctly Predicted Safe,True,9.743589743589745,13.406794871794872,False,Correctly Predicted Safe,True,False
2,1,8.0,5,George Hamilton,18.0,Edyta Sliwinska,11.38,3.79,34.14,3.0,3,0.6965,6,11.0,False,Correctly Predicted Safe,True,9.230769230769232,10.305384615384616,False,Correctly Predicted Safe,True,False
2,1,9.0,10,Kenny Mayne,13.0,Andrea Hale,3.41,3.41,11.38,10.0,10,0.9203,10,19.0,True,Correctly Predicted Eliminated,True,6.666666666666667,5.038333333333334,True,Correctly Predicted Eliminated,True,True
2,1,10.0,7,Master P,12.0,Ashly DelGrosso,8.54,4.27,34.14,4.0,4,0.7013,9,14.0,False,Correctly Predicted Safe,True,6.153846153846154,7.346923076923076,False,Correctly Predicted Safe,True,False
2,2,1.0,3,Stacy Keibler,29.0,Tony Dovolani,8.84,3.93,35.35,4.0,4,0.6858,1,5.0,False,Correctly Predicted Safe,True,14.499999999999998,11.669999999999998,False,Correctly Predicted Safe,True,False
2,2,2.0,1,Drew Lachey,27.0,Cheryl Burke,11.78,3.93,35.35,3.0,3,0.6858,2,5.0,False,Correctly Predicted Safe,True,13.5,12.64,False,Correctly Predicted Safe,True,False
2,2,3.0,8,Giselle Fernandez,24.0,Jonathan Roberts,4.42,3.93,35.35,8.0,8,0.6858,6,11.0,False,Correctly Predicted Safe,True,12.0,8.21,False,Correctly Predicted Safe,True,False
2,2,4.0,2,Jerry Rice,23.0,Anna Trebunskaya,17.67,3.93,35.35,2.0,2,0.6858,3,6.0,False,Correctly Predicted Safe,True,11.5,14.585,False,Correctly Predicted Safe,True,False
2,2,5.0,6,Tia Carrere,22.0,Maksim Chmerkoskiy,5.05,3.93,35.35,7.0,7,0.6858,7,12.0,False,Correctly Predicted Safe,True,11.0,8.025,False,Correctly Predicted Safe,True,False
2,2,5.0,5,George Hamilton,22.0,Edyta Sliwinska,7.07,3.93,35.35,5.0,5,0.6858,5,10.0,False,Correctly Predicted Safe,True,11.0,9.035,False,Correctly Predicted Safe,True,False
2,2,7.0,4,Lisa Rinna,20.0,Louis van Amstel,35.35,4.42,35.35,1.0,1,0.6907,4,8.0,False,Correctly Predicted Safe,True,10.0,22.675,False,Correctly Predicted Safe,True,False
2,2,8.0,9,Tatum O'Neal,17.0,Nick Kosovich,3.93,3.93,11.78,9.0,9,0.9214,9,17.0,True,Correctly Predicted Eliminated,True,8.5,6.215,True,Correctly Predicted Eliminated,True,True
2,2,9.0,7,Master P,16.0,Ashly DelGrosso,5.89,5.05,35.35,6.0,6,0.697,8,15.0,False,Correctly Predicted Safe,True,8.0,6.945,False,Correctly Predicted Safe,True,False
2,3,1.0,3,Stacy Keibler,27.0,Tony Dovolani,7.36,4.6,36.79,5.0,5,0.6781,2,6.0,False,Correctly Predicted Safe,True,14.835164835164836,11.097582417582418,False,Correctly Predicted Safe,True,False
2,3,1.0,1,Drew Lachey,27.0,Cheryl Burke,18.4,4.6,36.79,2.0,2,0.6781,1,3.0,False,Correctly Predicted Safe,True,14.835164835164836,16.61758241758242,False,Correctly Predicted Safe,True,False
2,3,3.0,6,Tia Carrere,26.0,Maksim Chmerkoskiy,5.26,4.6,36.79,7.0,7,0.6781,5,10.0,False,Correctly Predicted Safe,True,14.285714285714285,9.772857142857141,False,Correctly Predicted Safe,True,False
2,3,4.0,4,Lisa Rinna,25.0,Louis van Amstel,12.26,5.26,36.79,3.0,3,0.6846,3,7.0,False,Correctly Predicted Safe,True,13.736263736263737,12.998131868131868,False,Correctly Predicted Safe,True,False
2,3,5.0,5,George Hamilton,22.0,Edyta Sliwinska,6.13,5.26,36.79,6.0,6,0.6846,6,11.0,False,Correctly Predicted Safe,True,12.087912087912088,9.108956043956043,False,Correctly Predicted Safe,True,False
2,3,5.0,8,Giselle Fernandez,22.0,Jonathan Roberts,4.6,4.6,7.36,8.0,8,0.9724,8,13.0,True,Correctly Predicted Eliminated,True,12.087912087912088,8.343956043956045,True,Correctly Predicted Eliminated,True,True
2,3,7.0,2,Jerry Rice,19.0,Anna Trebunskaya,36.79,7.36,36.79,1.0,1,0.7057,4,8.0,False,Correctly Predicted Safe,True,10.43956043956044,23.61478021978022,False,Correctly Predicted Safe,True,False
2,3,8.0,7,Master P,14.0,Ashly DelGrosso,9.2,9.2,36.79,4.0,4,0.724,7,12.0,False,Correctly Predicted Safe,True,7.6923076923076925,8.446153846153846,False,Correctly Predicted Safe,True,False
2,4,1.0,1,Drew Lachey,28.0,Cheryl Burke,19.28,5.51,38.57,2.0,2,0.6694,1,3.0,False,Correctly Predicted Safe,True,17.72151898734177,18.500759493670884,False,Correctly Predicted Safe,True,False
2,4,2.0,4,Lisa Rinna,26.0,Louis van Amstel,6.43,5.51,38.57,6.0,6,0.6694,4,8.0,False,Correctly Predicted Safe,True,16.455696202531644,11.442848101265822,False,Correctly Predicted Safe,True,False
2,4,2.0,3,Stacy Keibler,26.0,Tony Dovolani,12.86,5.51,38.57,3.0,3,0.6694,2,5.0,False,Correctly Predicted Safe,True,16.455696202531644,14.657848101265822,False,Correctly Predicted Safe,True,False
2,4,4.0,6,Tia Carrere,25.0,Maksim Chmerkoskiy,7.71,5.51,38.57,5.0,5,0.6694,5,9.0,False,Correctly Predicted Safe,True,15.822784810126583,11.766392405063291,False,Correctly Predicted Safe,True,False
2,4,5.0,2,Jerry Rice,24.0,Anna Trebunskaya,38.57,5.51,38.57,1.0,1,0.6694,3,6.0,False,Correctly Predicted Safe,True,15.18987341772152,26.87993670886076,False,Correctly Predicted Safe,True,False
2,4,6.0,5,George Hamilton,21.0,Edyta Sliwinska,9.64,6.43,38.57,4.0,4,0.6786,6,10.0,False,Correctly Predicted Safe,True,13.291139240506327,11.465569620253163,False,Correctly Predicted Safe,True,False
2,4,7.0,7,Master P,8.0,Ashly DelGrosso,5.51,5.51,19.28,7.0,7,0.8623,7,14.0,True,Correctly Predicted Eliminated,True,5.063291139240507,5.286645569620253,True,Correctly Predicted Eliminated,True,True
2,5,1.0,3,Stacy Keibler,30.0,Tony Dovolani,10.2,6.8,40.82,4.0,4,0.6599,2,5.0,False,Correctly Predicted Safe,True,19.867549668874172,15.033774834437086,False,Correctly Predicted Safe,False,False
2,5,2.0,1,Drew Lachey,27.0,Cheryl Burke,40.82,6.8,40.82,1.0,1,0.6599,1,3.0,False,Correctly Predicted Safe,True,17.880794701986755,29.350397350993376,False,Correctly Predicted Safe,False,False
2,5,3.0,4,Lisa Rinna,25.0,Louis van Amstel,13.61,6.8,40.82,3.0,3,0.6599,3,6.0,False,Correctly Predicted Safe,True,16.55629139072848,15.083145695364239,False,Correctly Predicted Safe,False,False
2,5,4.0,5,George Hamilton,24.0,Edyta Sliwinska,6.8,6.8,40.82,6.0,6,0.6599,5,10.0,False,Correctly Predicted Safe,True,15.894039735099339,11.347019867549669,True,Incorrectly Predicted Eliminated,False,False
2,5,5.0,2,Jerry Rice,23.0,Anna Trebunskaya,20.41,8.16,40.82,2.0,2,0.6735,4,7.0,False,Correctly Predicted Safe,True,15.2317880794702,17.8208940397351,False,Correctly Predicted Safe,False,False
2,5,6.0,6,Tia Carrere,22.0,Maksim Chmerkoskiy,8.16,6.8,20.41,5.0,5,0.8639,6,11.0,True,Correctly Predicted Eliminated,True,14.56953642384106,11.36476821192053,False,Incorrectly Predicted Safe,False,True
2,6,1.0,3,Stacy Keibler,30.0,Tony Dovolani,10.95,8.76,43.8,4.0,4,0.6496,2,5.0,False,Correctly Predicted Safe,True,22.55639097744361,16.753195488721804,False,Correctly Predicted Safe,True,False
2,6,1.0,1,Drew Lachey,30.0,Cheryl Burke,21.9,8.76,43.8,2.0,2,0.6496,1,3.0,False,Correctly Predicted Safe,True,22.55639097744361,22.228195488721802,False,Correctly Predicted Safe,True,False
2,6,3.0,4,Lisa Rinna,27.0,Louis van Amstel,14.6,10.95,43.8,3.0,3,0.6715,4,6.0,False,Correctly Predicted Safe,True,20.30075187969925,17.450375939849625,False,Correctly Predicted Safe,True,False
2,6,4.0,5,George Hamilton,23.0,Edyta Sliwinska,8.76,8.76,14.6,5.0,5,0.9416,5,9.0,True,Correctly Predicted Eliminated,True,17.293233082706767,13.026616541353384,True,Correctly Predicted Eliminated,True,True
2,6,4.0,2,Jerry Rice,23.0,Anna Trebunskaya,43.8,10.95,43.8,1.0,1,0.6715,3,5.0,False,Correctly Predicted Safe,True,17.293233082706767,30.54661654135338,False,Correctly Predicted Safe,True,False
2,7,1.0,3,Stacy Keibler,27.5,Tony Dovolani,16.0,12.0,48.0,3.0,3,0.64,2,4.0,False,Correctly Predicted Safe,True,26.96078431372549,21.480392156862745,False,Correctly Predicted Safe,True,False
2,7,1.0,1,Drew Lachey,27.5,Cheryl Burke,24.0,12.0,48.0,2.0,2,0.64,1,3.0,False,Correctly Predicted Safe,True,26.96078431372549,25.480392156862745,False,Correctly Predicted Safe,True,False
2,7,3.0,4,Lisa Rinna,26.5,Louis van Amstel,12.0,12.0,16.0,4.0,4,0.96,4,7.0,True,Correctly Predicted Eliminated,True,25.98039215686275,18.990196078431374,True,Correctly Predicted Eliminated,True,True
2,7,4.0,2,Jerry Rice,20.5,Anna Trebunskaya,48.0,24.0,48.0,1.0,1,0.76,3,5.0,False,Correctly Predicted Safe,True,20.098039215686274,34.049019607843135,False,Correctly Predicted Safe,True,False
2,8,1.0,1,Drew Lachey,28.9998,Cheryl Burke,54.55,18.18,54.55,1.0,1,0.6364,1,2.0,False,Correctly Predicted Safe,True,34.38729131809769,44.468645659048846,False,Correctly Predicted Safe,True,False
2,8,2.0,3,Stacy Keibler,28.6665,Tony Dovolani,18.18,18.18,27.27,3.0,3,0.9091,2,5.0,True,Correctly Predicted Eliminated,True,33.9920718960216,26.0860359480108,True,Correctly Predicted Eliminated,True,True
2,8,3.0,2,Jerry Rice,26.666600000000003,Anna Trebunskaya,27.27,27.27,54.55,2.0,2,0.7273,3,5.0,True,Correctly Predicted Eliminated,True,31.620636785880723,29.44531839294036,True,Correctly Predicted Eliminated,True,True
3,1,1.0,2,Mario Lopez,26.0,Karina Smirnoff,12.5,0.0,100.0,,1,0.0,1,2.0,False,Correctly Predicted Safe,True,12.264150943396226,12.382075471698112,False,Correctly Predicted Safe,True,False
3,1,2.0,1,Emmitt Smith,24.0,Cheryl Burke,12.5,0.0,100.0,,2,0.0,2,4.0,False,Correctly Predicted Safe,True,11.320754716981133,11.910377358490567,False,Correctly Predicted Safe,True,False
3,1,3.0,8,Vivica A. Fox,22.0,Nick Kosovich,7.04,0.0,100.0,,8,0.0,8,11.0,False,Correctly Predicted Safe,True,10.377358490566039,8.708679245283019,False,Correctly Predicted Safe,True,False
3,1,3.0,7,Willa Ford,22.0,Maksim Chmerkoskiy,9.12,0.0,100.0,,7,0.0,6,10.0,False,Correctly Predicted Safe,True,10.377358490566039,9.748679245283018,False,Correctly Predicted Safe,True,False
3,1,5.0,3,Joey Lawrence,21.0,Edyta Sliwinska,12.5,0.0,100.0,,3,0.0,3,8.0,False,Correctly Predicted Safe,True,9.90566037735849,11.202830188679245,False,Correctly Predicted Safe,True,False
3,1,6.0,4,Monique Coleman,19.0,Louis van Amstel,12.5,0.0,100.0,,4,0.0,4,10.0,False,Correctly Predicted Safe,True,8.962264150943396,10.731132075471699,False,Correctly Predicted Safe,True,False
3,1,7.0,10,Shanna Moakler,18.0,Jesse DeSoto,3.11,0.0,100.0,,10,0.0,10,17.0,False,Correctly Predicted Safe,True,8.49056603773585,5.800283018867924,False,Correctly Predicted Safe,True,False
3,1,8.0,9,Harry Hamlin,17.0,Ashly DelGrosso,5.25,0.0,100.0,,9,0.0,9,17.0,False,Correctly Predicted Safe,True,8.018867924528301,6.634433962264151,False,Correctly Predicted Safe,True,False
3,1,9.0,5,Jerry Springer,16.0,Kym Johnson,12.5,0.0,100.0,,5,0.0,5,14.0,False,Correctly Predicted Safe,True,7.547169811320755,10.023584905660378,False,Correctly Predicted Safe,True,False
3,1,10.0,6,Sara Evans,15.0,Tony Dovolani,11.62,0.0,100.0,,6,0.0,7,16.0,False,Correctly Predicted Safe,True,7.0754716981132075,9.347735849056603,False,Correctly Predicted Safe,True,False
3,1,11.0,11,Tucker Carlson,12.0,Elena Grinenko,1.38,0.0,12.51,,11,0.8749,11,22.0,True,Correctly Predicted Eliminated,True,5.660377358490567,3.5201886792452832,True,Correctly Predicted Eliminated,True,True
3,2,1.0,3,Joey Lawrence,29.0,Edyta Sliwinska,13.8,0.0,97.35,,1,0.0265,1,2.0,False,Correctly Predicted Safe,False,12.608695652173912,13.204347826086956,False,Correctly Predicted Safe,True,False
3,2,2.0,4,Monique Coleman,26.0,Louis van Amstel,13.8,0.0,97.35,,2,0.0265,2,4.0,False,Correctly Predicted Safe,False,11.304347826086957,12.552173913043479,False,Correctly Predicted Safe,True,False
3,2,3.0,8,Vivica A. Fox,24.0,Nick Kosovich,6.09,0.0,97.35,,8,0.0265,8,11.0,False,Correctly Predicted Safe,False,10.434782608695652,8.262391304347826,False,Correctly Predicted Safe,True,False
3,2,3.0,1,Emmitt Smith,24.0,Cheryl Burke,13.8,0.0,97.35,,3,0.0265,3,6.0,False,Correctly Predicted Safe,False,10.434782608695652,12.117391304347827,False,Correctly Predicted Safe,True,False
3,2,5.0,7,Willa Ford,23.0,Maksim Chmerkoskiy,8.66,0.0,97.35,,7,0.0265,7,12.0,False,Correctly Predicted Safe,False,10.0,9.33,False,Correctly Predicted Safe,True,False
3,2,6.0,10,Shanna Moakler,22.0,Jesse DeSoto,1.19,0.0,10.43,,10,0.8957,10,16.0,False,Incorrectly Predicted Safe,False,9.565217391304348,5.377608695652174,True,Correctly Predicted Eliminated,True,True
3,2,7.0,9,Harry Hamlin,21.0,Ashly DelGrosso,3.76,0.44,97.8,,9,0.0265,9,16.0,True,Incorrectly Predicted Eliminated,False,9.130434782608695,6.445217391304348,False,Correctly Predicted Safe,True,False
3,2,7.0,2,Mario Lopez,21.0,Karina Smirnoff,13.8,0.44,97.8,,4,0.0265,4,11.0,False,Correctly Predicted Safe,False,9.130434782608695,11.465217391304348,False,Correctly Predicted Safe,True,False
3,2,7.0,6,Sara Evans,21.0,Tony Dovolani,11.29,0.44,97.8,,6,0.0265,6,13.0,False,Correctly Predicted Safe,False,9.130434782608695,10.210217391304347,False,Correctly Predicted Safe,True,False
3,2,10.0,5,Jerry Springer,19.0,Kym Johnson,13.8,1.31,98.67,,5,0.0265,5,15.0,False,Correctly Predicted Safe,False,8.26086956521739,11.030434782608696,False,Correctly Predicted Safe,True,False
3,3,1.0,8,Vivica A. Fox,27.0,Nick Kosovich,4.19,0.0,98.02,,8,0.0198,8,9.0,False,Correctly Predicted Safe,True,13.043478260869565,8.616739130434782,False,Correctly Predicted Safe,True,False
3,3,1.0,4,Monique Coleman,27.0,Louis van Amstel,15.54,0.0,98.02,,2,0.0198,1,3.0,False,Correctly Predicted Safe,True,13.043478260869565,14.291739130434781,False,Correctly Predicted Safe,True,False
3,3,3.0,6,Sara Evans,25.0,Tony Dovolani,10.56,0.0,98.02,,6,0.0198,6,9.0,False,Correctly Predicted Safe,True,12.077294685990339,11.31864734299517,False,Correctly Predicted Safe,True,False
3,3,4.0,9,Harry Hamlin,22.0,Ashly DelGrosso,1.46,0.0,11.59,,9,0.8841,9,13.0,True,Correctly Predicted Eliminated,True,10.628019323671497,6.044009661835748,True,Correctly Predicted Eliminated,True,True
3,3,4.0,3,Joey Lawrence,22.0,Edyta Sliwinska,15.54,0.01,98.03,,3,0.0198,2,7.0,False,Correctly Predicted Safe,True,10.628019323671497,13.084009661835747,False,Correctly Predicted Safe,True,False
3,3,4.0,2,Mario Lopez,22.0,Karina Smirnoff,15.54,0.01,98.03,,1,0.0198,3,5.0,False,Correctly Predicted Safe,True,10.628019323671497,13.084009661835747,False,Correctly Predicted Safe,True,False
3,3,4.0,7,Willa Ford,22.0,Maksim Chmerkoskiy,7.67,0.01,98.03,,7,0.0198,7,11.0,False,Correctly Predicted Safe,True,10.628019323671497,9.149009661835748,False,Correctly Predicted Safe,True,False
3,3,8.0,5,Jerry Springer,21.0,Kym Johnson,13.96,0.49,98.51,,5,0.0198,5,13.0,False,Correctly Predicted Safe,True,10.144927536231885,12.052463768115942,False,Correctly Predicted Safe,True,False
3,3,9.0,1,Emmitt Smith,19.0,Cheryl Burke,15.54,1.46,99.48,,4,0.0198,4,13.0,False,Correctly Predicted Safe,True,9.178743961352657,12.359371980676329,False,Correctly Predicted Safe,True,False
3,4,1.0,2,Mario Lopez,29.0,Karina Smirnoff,17.43,0.0,96.93,,3,0.0307,1,4.0,False,Correctly Predicted Safe,False,14.646464646464647,16.03823232323232,False,Correctly Predicted Safe,True,False
3,4,2.0,7,Willa Ford,28.0,Maksim Chmerkoskiy,5.28,0.0,96.93,,7,0.0307,7,9.0,False,Correctly Predicted Safe,False,14.14141414141414,9.71070707070707,False,Correctly Predicted Safe,True,False
3,4,3.0,3,Joey Lawrence,27.0,Edyta Sliwinska,17.43,0.0,96.93,,1,0.0307,2,4.0,False,Correctly Predicted Safe,False,13.636363636363635,15.533181818181816,False,Correctly Predicted Safe,True,False
3,4,4.0,8,Vivica A. Fox,24.0,Nick Kosovich,1.76,0.0,12.87,,8,0.8713,8,12.0,False,Incorrectly Predicted Safe,False,12.121212121212121,6.9406060606060604,True,Correctly Predicted Eliminated,True,True
3,4,4.0,4,Monique Coleman,24.0,Louis van Amstel,17.25,0.01,96.94,,4,0.0307,4,8.0,False,Correctly Predicted Safe,False,12.121212121212121,14.68560606060606,False,Correctly Predicted Safe,True,False
3,4,4.0,1,Emmitt Smith,24.0,Cheryl Burke,17.43,0.01,96.94,,2,0.0307,3,6.0,False,Correctly Predicted Safe,False,12.121212121212121,14.77560606060606,False,Correctly Predicted Safe,True,False
3,4,7.0,5,Jerry Springer,22.0,Kym Johnson,13.56,1.02,97.95,,5,0.0307,5,12.0,False,Correctly Predicted Safe,False,11.11111111111111,12.335555555555555,False,Correctly Predicted Safe,True,False
3,4,8.0,6,Sara Evans,20.0,Tony Dovolani,9.86,2.03,98.96,,6,0.0307,6,14.0,True,Incorrectly Predicted Eliminated,False,10.1010101010101,9.98050505050505,False,Correctly Predicted Safe,True,False
3,5,1.0,4,Monique Coleman,27.0,Louis van Amstel,17.24,0.02,95.49,,4,0.0453,4,5.0,False,Correctly Predicted Safe,False,14.917127071823206,16.078563535911602,False,Correctly Predicted Safe,True,False
3,5,1.0,2,Mario Lopez,27.0,Karina Smirnoff,20.26,0.02,95.49,,1,0.0453,1,2.0,False,Correctly Predicted Safe,False,14.917127071823206,17.588563535911604,False,Correctly Predicted Safe,True,False
3,5,1.0,1,Emmitt Smith,27.0,Cheryl Burke,20.26,0.02,95.49,,2,0.0453,2,3.0,False,Correctly Predicted Safe,False,14.917127071823206,17.588563535911604,False,Correctly Predicted Safe,True,False
3,5,1.0,7,Willa Ford,27.0,Maksim Chmerkoskiy,2.04,0.0,13.64,,7,0.8636,7,8.0,False,Incorrectly Predicted Safe,False,14.917127071823206,8.478563535911603,True,Correctly Predicted Eliminated,True,True
3,5,5.0,3,Joey Lawrence,25.0,Edyta Sliwinska,20.26,1.12,96.6,,3,0.0453,3,8.0,False,Correctly Predicted Safe,False,13.812154696132598,17.0360773480663,False,Correctly Predicted Safe,True,False
3,5,6.0,6,Sara Evans,24.0,Tony Dovolani,7.44,1.67,17.58,,6,0.8409,6,12.0,True,Correctly Predicted Eliminated,False,13.259668508287293,10.349834254143646,True,Correctly Predicted Eliminated,True,True
3,5,6.0,5,Jerry Springer,24.0,Kym Johnson,12.51,1.68,97.15,,5,0.0453,5,11.0,True,Incorrectly Predicted Eliminated,False,13.259668508287293,12.884834254143646,False,Correctly Predicted Safe,True,False
3,7,3.0,3,Joey Lawrence,52.5,Edyta Sliwinska,23.09,0.0,100.0,,3,0.0,3,6.0,False,Correctly Predicted Safe,True,20.75098814229249,21.920494071146244,False,Correctly Predicted Safe,True,False
3,7,2.0,1,Emmitt Smith,53.5,Cheryl Burke,29.13,0.0,100.0,,1,0.0,2,3.0,False,Correctly Predicted Safe,True,21.14624505928854,25.13812252964427,False,Correctly Predicted Safe,True,False
3,7,1.0,2,Mario Lopez,56.0,Karina Smirnoff,29.13,0.0,100.0,,2,0.0,1,3.0,False,Correctly Predicted Safe,True,22.134387351778656,25.632193675889326,False,Correctly Predicted Safe,True,False
3,7,4.0,4,Monique Coleman,50.0,Louis van Amstel,13.66,0.0,100.0,,4,0.0,4,8.0,False,Correctly Predicted Safe,True,19.76284584980237,16.711422924901186,False,Correctly Predicted Safe,True,False
3,7,5.0,5,Jerry Springer,41.0,Kym Johnson,4.99,0.0,23.79,,5,0.7621,5,10.0,True,Correctly Predicted Eliminated,True,16.205533596837945,10.597766798418974,True,Correctly Predicted Eliminated,True,True
3,8,1.0,2,Mario Lopez,28.5,Karina Smirnoff,35.45,0.0,100.0,,2,0.0,2,3.0,False,Correctly Predicted Safe,True,26.146788990825687,30.798394495412843,False,Correctly Predicted Safe,True,False
